date,metric,value,comparison,threshold,status
2026-07-21,error_rate,0.0106951871657754,maximum,0.02,OK
2026-07-21,p95_latency_ms,107.84849999999999,maximum,180.0,OK
2026-07-21,missing_rate,0.016042780748663103,maximum,0.03,OK
2026-07-21,positive_rate,0.24866310160427807,outside_range,0.25-0.55,ALERT
2026-07-22,error_rate,0.017316017316017316,maximum,0.02,OK
2026-07-22,p95_latency_ms,109.946,maximum,180.0,OK
2026-07-22,missing_rate,0.008658008658008658,maximum,0.03,OK
2026-07-22,positive_rate,0.22727272727272727,outside_range,0.25-0.55,ALERT
2026-07-23,error_rate,0.016304347826086956,maximum,0.02,OK
2026-07-23,p95_latency_ms,110.31349999999999,maximum,180.0,OK
2026-07-23,missing_rate,0.008152173913043478,maximum,0.03,OK
2026-07-23,positive_rate,0.23097826086956522,outside_range,0.25-0.55,ALERT
2026-07-24,error_rate,0.014,maximum,0.02,OK
2026-07-24,p95_latency_ms,112.7645,maximum,180.0,OK
2026-07-24,missing_rate,0.012,maximum,0.03,OK
2026-07-24,positive_rate,0.274,outside_range,0.25-0.55,OK
2026-07-25,error_rate,0.0045045045045045045,maximum,0.02,OK
2026-07-25,p95_latency_ms,110.58399999999996,maximum,180.0,OK
2026-07-25,missing_rate,0.015765765765765764,maximum,0.03,OK
2026-07-25,positive_rate,0.240990990990991,outside_range,0.25-0.55,ALERT
2026-07-26,error_rate,0.006382978723404255,maximum,0.02,OK
2026-07-26,p95_latency_ms,111.8529999999999,maximum,180.0,OK
2026-07-26,missing_rate,0.006382978723404255,maximum,0.03,OK
2026-07-26,positive_rate,0.2872340425531915,outside_range,0.25-0.55,OK
2026-07-27,error_rate,0.016483516483516484,maximum,0.02,OK
2026-07-27,p95_latency_ms,112.54,maximum,180.0,OK
2026-07-27,missing_rate,0.016483516483516484,maximum,0.03,OK
2026-07-27,positive_rate,0.22527472527472528,outside_range,0.25-0.55,ALERT
2026-07-28,error_rate,0.004750593824228029,maximum,0.02,OK
2026-07-28,p95_latency_ms,109.09,maximum,180.0,OK
2026-07-28,missing_rate,0.0166270783847981,maximum,0.03,OK
2026-07-28,positive_rate,0.2589073634204275,outside_range,0.25-0.55,OK
2026-07-29,error_rate,0.007978723404255319,maximum,0.02,OK
2026-07-29,p95_latency_ms,108.2675,maximum,180.0,OK
2026-07-29,missing_rate,0.02127659574468085,maximum,0.03,OK
2026-07-29,positive_rate,0.2579787234042553,outside_range,0.25-0.55,OK
2026-07-30,error_rate,0.007653061224489796,maximum,0.02,OK
2026-07-30,p95_latency_ms,110.06649999999999,maximum,180.0,OK
2026-07-30,missing_rate,0.015306122448979591,maximum,0.03,OK
2026-07-30,positive_rate,0.3112244897959184,outside_range,0.25-0.55,OK
2026-07-31,error_rate,0.046948356807511735,maximum,0.02,ALERT
2026-07-31,p95_latency_ms,239.1525,maximum,180.0,ALERT
2026-07-31,missing_rate,0.051643192488262914,maximum,0.03,ALERT
2026-07-31,positive_rate,0.6126760563380281,outside_range,0.25-0.55,ALERT
2026-08-01,error_rate,0.0374331550802139,maximum,0.02,ALERT
2026-08-01,p95_latency_ms,231.17049999999998,maximum,180.0,ALERT
2026-08-01,missing_rate,0.0374331550802139,maximum,0.03,ALERT
2026-08-01,positive_rate,0.5588235294117647,outside_range,0.25-0.55,ALERT
2026-08-02,error_rate,0.05,maximum,0.02,ALERT
2026-08-02,p95_latency_ms,229.72399999999993,maximum,180.0,ALERT
2026-08-02,missing_rate,0.05,maximum,0.03,ALERT
2026-08-02,positive_rate,0.57,outside_range,0.25-0.55,ALERT
2026-08-03,error_rate,0.05929919137466307,maximum,0.02,ALERT
2026-08-03,p95_latency_ms,234.995,maximum,180.0,ALERT
2026-08-03,missing_rate,0.07008086253369272,maximum,0.03,ALERT
2026-08-03,positive_rate,0.5336927223719676,outside_range,0.25-0.55,OK
